,Unnamed: 0,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Days
45,3188,1989-10-18 00:46:36.570,37.0703,-121.8682,13.47,2.64,Md,17,99.0,16.0,0.16,NC,10090733.0,0.0
46,3189,1989-10-18 00:46:59.440,36.8392,-121.5323,4.95,2.96,Md,7,204.0,6.0,0.01,NC,10090734.0,0.0
47,3190,1989-10-18 00:47:24.320,37.1638,-121.9865,8.5,2.23,Md,18,84.0,4.0,0.15,NC,10090735.0,0.0
48,3191,1989-10-18 00:47:59.220,36.8352,-121.5383,5.39,3.33,Md,13,192.0,5.0,0.02,NC,10090736.0,0.0
49,3192,1989-10-18 00:48:01.150,37.2012,-122.0568,14.65,2.91,Md,17,67.0,5.0,0.08,NC,10090765.0,0.0
50,3193,1989-10-18 00:48:26.700,37.1655,-122.0142,11.56,2.78,Md,27,63.0,1.0,0.05,NC,10090737.0,0.0
51,3194,1989-10-18 00:48:45.310,37.1947,-122.0558,12.33,2.59,Md,20,55.0,4.0,0.06,NC,10090738.0,0.0
52,3195,1989-10-18 00:49:25.480,37.1822,-121.9888,6.67,2.18,Md,14,138.0,2.0,0.05,NC,10090739.0,0.0
53,3196,1989-10-18 00:49:38.830,37.1192,-121.9965,11.18,2.59,Md,12,180.0,6.0,0.06,NC,10090740.0,0.0
54,3197,1989-10-18 00:53:17.760,37.0957,-121.9303,9.35,2.71,Md,31,62.0,8.0,0.04,NC,10090743.0,0.0
55,3198,1989-10-18 00:53:41.890,37.0983,-121.996,9.87,2.81,Md,7,141.0,8.0,0.02,NC,10090744.0,0.0
56,3199,1989-10-18 00:55:59.000,36.9883,-121.727,9.12,2.61,Md,22,81.0,5.0,0.04,NC,10090767.0,0.0
57,3200,1989-10-18 00:56:59.470,36.957,-121.6417,9.57,2.89,Md,20,119.0,3.0,0.28,NC,10090768.0,0.0
58,3201,1989-10-18 00:58:01.130,37.1645,-121.965,4.81,2.77,Md,20,59.0,3.0,0.07,NC,10090770.0,0.0
59,3202,1989-10-18 00:58:27.100,37.1912,-121.9852,6.08,2.57,Md,21,38.0,1.0,0.07,NC,10090771.0,0.0
60,3203,1989-10-18 00:58:41.970,37.159,-121.9775,9.85,2.73,Md,18,88.0,4.0,0.03,NC,10090786.0,0.0
61,3204,1989-10-18 00:58:56.270,37.122,-121.9743,14.26,3.9,ML,29,143.0,6.0,0.1,NC,10090773.0,0.0
62,3205,1989-10-18 00:59:41.240,37.1483,-121.9825,4.65,1.74,Md,8,116.0,5.0,0.02,NC,250290.0,0.0
63,3206,1989-10-18 01:00:20.220,37.1782,-121.9868,6.62,1.74,Md,13,130.0,3.0,0.03,NC,10090775.0,0.0
64,3207,1989-10-18 01:00:50.830,37.0188,-121.9128,15.38,3.09,Md,22,132.0,8.0,0.37,NC,10090777.0,0.0
65,3208,1989-10-18 01:01:14.590,37.1083,-121.8465,3.47,2.44,Md,10,84.0,1.0,0.06,NC,10090778.0,0.0
66,3209,1989-10-18 01:01:27.380,36.9637,-121.7228,13.58,3.1,ML,43,75.0,3.0,0.07,NC,10090779.0,0.0
67,3210,1989-10-18 01:02:27.740,37.1857,-122.006,7.75,2.83,Md,13,72.0,2.0,0.1,NC,10090780.0,0.0
68,3211,1989-10-18 01:02:44.680,37.1555,-121.9912,7.09,1.38,Md,7,87.0,4.0,0.01,NC,10090788.0,0.0
69,3212,1989-10-18 01:03:31.200,37.1692,-122.008,7.11,0.94,Md,14,93.0,2.0,0.05,NC,10090781.0,0.0
70,3213,1989-10-18 01:03:36.620,37.1735,-121.9982,6.98,2.35,Md,29,58.0,3.0,0.1,NC,10090789.0,0.0
71,3214,1989-10-18 01:03:52.970,37.1143,-121.968,9.62,2.19,Md,13,118.0,7.0,0.08,NC,10090790.0,0.0
72,3215,1989-10-18 01:03:58.990,37.1142,-121.8412,3.12,3.7,ML,39,87.0,5.0,0.08,NC,10090782.0,0.0
73,3216,1989-10-18 01:05:33.790,37.1362,-121.9917,13.18,3.1,ML,33,94.0,5.0,0.08,NC,10090783.0,0.0
74,3217,1989-10-18 01:05:53.620,37.0963,-121.855,10.34,3.09,Md,27,53.0,2.0,0.16,NC,10090785.0,0.0
75,3219,1989-10-18 01:07:39.790,36.9798,-121.704,6.91,3.09,Md,41,89.0,3.0,0.07,NC,10090317.0,0.0
76,3220,1989-10-18 01:08:08.860,37.1943,-122.0433,14.34,3.6,ML,41,55.0,3.0,0.05,NC,10090361.0,0.0
77,3221,1989-10-18 01:08:27.780,37.092,-121.7392,-0.35,3.04,Mx,22,70.0,8.0,0.29,NC,10090794.0,0.0
78,3222,1989-10-18 01:08:56.740,37.0918,-121.908,10.48,2.45,Md,13,96.0,7.0,0.06,NC,10090795.0,0.0
79,3223,1989-10-18 01:09:11.830,37.0588,-121.8113,4.13,2.71,Md,8,98.0,1.0,0.02,NC,10090796.0,0.0
80,3224,1989-10-18 01:09:35.070,37.1025,-121.9062,7.41,2.88,Md,26,48.0,6.0,0.05,NC,10090797.0,0.0
81,3225,1989-10-18 01:10:58.300,37.095,-121.9763,1.8,1.03,Md,10,154.0,9.0,0.11,NC,250292.0,0.0
82,3226,1989-10-18 01:11:59.030,37.0797,-121.8965,13.88,2.29,Md,15,71.0,6.0,0.03,NC,250293.0,0.0
83,3227,1989-10-18 01:12:07.150,37.1663,-121.9848,8.71,1.93,Md,9,88.0,4.0,0.02,NC,250704.0,0.0
84,3228,1989-10-18 01:13:01.120,37.178,-121.982,5.99,2.26,Md,12,89.0,3.0,0.04,NC,10090799.0,0.0
85,3229,1989-10-18 01:13:26.510,36.9677,-121.6977,5.65,2.77,Md,36,92.0,2.0,0.06,NC,10090800.0,0.0
86,3230,1989-10-18 01:14:00.280,36.9847,-121.7343,11.58,2.35,Md,36,78.0,5.0,0.06,NC,10090801.0,0.0
87,3231,1989-10-18 01:14:30.770,37.1485,-122.0065,15.36,2.29,Md,37,67.0,3.0,0.08,NC,10090802.0,0.0
